score;titre;employeur;lieu;date_parution;url;mots_cles_lettre;nouveau;source;taux;detail_score
72;Digital Communications Specialist (80%) - Geneva;OM Pharma SA;Meyrin;2026-07-10;https://careers.ompharma.com/job/Meyrin-Digital-Communications-Specialist-%2880%29-Geneva-Gene/1413390933/;communication | digital | social media;oui;job-room;80%;"missions=16; experience=20; allemand=15; localisation=15; employeur=6"
70;Secrétaire municipal /Chef de service;Let's Grow Up Sàrl;Lucens;2026-08-06;https://www.jobup.ch/fr/emplois/detail/f9d7ec95-8d5a-463f-a19d-46682d459893/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;relations publiques | redactionnel | communication;oui;job-room;100%;"missions=19.9; experience=14; allemand=15; localisation=15; employeur=6"
70;Digital Acquisition Marketing Intern;Webloyalty Sàrl;Nyon;2026-08-06;https://www.jobup.ch/fr/emplois/detail/96554ff9-fc7f-46c6-aeb0-0f7701afe80b/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;marketing | acquisition | digital;oui;job-room;100%;"missions=20.2; experience=14; allemand=15; localisation=15; employeur=6"
69;DIGITAL CONTENT SPECIALIST - Medienjobs;Tissot Ltd;Le Locle;2026-08-06;https://medienjobs.ch/kommunikation-marketing-verkauf/digital-content-specialist/;digital | marketing | brand;oui;job-room;100%;"missions=24.9; experience=14; allemand=15; localisation=9; employeur=6"
68;Search & AI Visibility Specialist;Swissquote Bank SA;Gland;2026-08-15;https://jobs.smartrecruiters.com/Swissquote/744000143473659-search-ai-visibility-specialist;marketing | digital | search;oui;job-room;100%;"missions=17.8; experience=14; allemand=15; localisation=15; employeur=6"
67;Marketing Project Manager 80%;Banque Cantonale Neuchâteloise;Neuchâtel;2026-08-06;https://www.jobs.ch/de/stellenangebote/detail/33b63310-7112-423f-82b7-0ab105087adb/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobs|tg:b2c|cn:ch|lg:de|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;marketing | campagnes | reseaux sociaux;oui;job-room;80%;"missions=16; experience=20; allemand=15; localisation=9; employeur=7"
67;Digital Customer Engagement Trainee;Salt Mobile SA;Prilly;2026-08-05;https://www.jobup.ch/fr/emplois/detail/1204505b-5075-4999-bbc1-2ea16eff2f06/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;marketing | communication | newsletter;oui;job-room;100%;"missions=21.9; experience=14; allemand=10.5; localisation=15; employeur=6"
67;Gestionnaire subventions et évènements à 70%;Ville de Geneve;Genève;;https://www.geneve.ch/administration-municipale/offres-emploi/gestionnaire-subventions-evenements-70;evenements | site internet | manifestations;oui;web:Ville de Geneve;70%;"missions=16; experience=14; allemand=15; localisation=15; employeur=7"
66;Digital Sales Manager Vevey (f/h/d) 100%;Jobup;Vevey;2026-07-22;https://www.jobup.ch/fr/emplois/detail/743006fc-6791-446f-ac1a-38eb499123a5/;digital | evenements | communication;oui;job-room;100%;"missions=11.9; experience=20; allemand=15; localisation=12.8; employeur=6"
65;Directeur de la Performance Commerciale et Marketing H/F;Vivara SA;Lausanne;2026-07-22;https://www.jobs.ch/de/stellenangebote/detail/e396b166-2663-47f1-8fde-a3f4a132b8c9/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobs|tg:b2c|cn:ch|lg:de|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;marketing | marque | emailing;oui;job-room;100%;"missions=26.2; experience=3; allemand=15; localisation=15; employeur=6"
64;Global Traffic & Creative Operations Manager;L'Occitane International (Suisse) SA;Plan-les-Ouates;2026-08-10;https://www.jobup.ch/fr/emplois/detail/65642614-eb4d-4f6b-9c5d-60013da5f4b2/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;marketing | digital | creative;oui;job-room;100%;"missions=13.8; experience=14; allemand=15; localisation=15; employeur=6"
64;Social Media & Community Engagement Officer;Médecins Sans Frontières Suisse (GE HQ);Genève;2026-08-14;https://www.job-room.ch/job-search/13a4edb4-c5fa-49ac-9925-8cda26adcd3a;social media | digital | community;oui;job-room;100%;"missions=25.3; experience=14; allemand=3.8; localisation=15; employeur=6"
64;Global Medical Communication Lead;Nestlé SA;Vevey;2026-08-08;https://jobdetails.nestle.com/job/Vevey-Global-Medical-Communication-Lead/1424424033/;communication | brand | marketing;oui;job-room;100%;"missions=16; experience=14; allemand=15; localisation=12.8; employeur=6"
62;Technical Sales Specialist - Apply Only Via ORYL Website;Jobup;Epalinges;2026-07-18;https://www.jobup.ch/fr/emplois/detail/5261bfb1-ad52-4ffb-b637-2698be2e49e6/;marketing | conferences | campagnes;oui;job-room;80-100%;"missions=12.2; experience=14; allemand=15; localisation=15; employeur=6"
62;Sales Manager B2B-Events;easyFairs Switzerland GmbH;Le Grand-Saconnex;2026-08-13;https://www.jobs.ch/de/stellenangebote/detail/f2544687-cb2d-412b-a1eb-91f12a41c5b8/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobs|tg:b2c|cn:ch|lg:de|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;event | marketing | growth;oui;job-room;100%;"missions=16; experience=14; allemand=10.5; localisation=15; employeur=6"
61;Secrétaire général·e;Jobup;Lausanne;2026-08-04;https://www.jobup.ch/fr/emplois/detail/ab428710-e025-4baa-9584-d1bbe9917188/;promotion | plan de communication | evenements;oui;job-room;80-100%;"missions=10.7; experience=14; allemand=15; localisation=15; employeur=6"
61;Digital Product Specialist;MSC Cruises;Geneva;2026-08-16;https://careers.msccruises.com/gb/en/job/17173/Digital-Product-Specialist;digital | brand | communication;oui;job-room;100%;"missions=11.1; experience=14; allemand=15; localisation=15; employeur=6"
61;Global Marketing Operations Strategy Lead;Nestlé SA;Vevey;2026-07-16;https://jobdetails.nestle.com/job/Vevey-Global-Marketing-Operations-Strategy-Lead/1412082233/;marketing | brand | digital;oui;job-room;100%;"missions=13; experience=14; allemand=15; localisation=12.8; employeur=6"
61;Global Marketing Operations Strategy Lead - Medienjobs;Nestlé Suisse S.A;Vevey;2026-08-05;https://medienjobs.ch/kommunikation-marketing-verkauf/global-marketing-operations-strategy-lead/;marketing | brand | digital;oui;job-room;100%;"missions=13; experience=14; allemand=15; localisation=12.8; employeur=6"
60;Enquirus Communication Project Manager - Medienjobs;Richemont International SA;Plan-les-Ouates;2026-08-05;https://medienjobs.ch/kommunikation-marketing-verkauf/enquirus-communication-project-manager/;communication | marketing | social media;oui;job-room;100%;"missions=26.2; experience=10; allemand=3; localisation=15; employeur=6"
60;Rédacteur/rédactrice en chef – journaliste photographe – 50 à 70 % – Le Point Chablais;le point chablais;Aigle;2026-08-07;https://www.job-room.ch/job-search/efef475c-68f4-40e5-960d-22c8afff7324;evenementiel | communication | sponsors;oui;job-room;50-70%;"missions=12.2; experience=14; allemand=15; localisation=12.8; employeur=6"
58;Chef de Projet Stratégique Marketing & Marque (h/f) 80-100%;Groupe Mutuel;Lausanne;2026-08-13;https://groupemutuel.csod.com/ux/ats/careersite/4/home/requisition/4285?c=groupemutuel;marketing | marque | influence;oui;job-room;80-100%;"missions=13; experience=20; allemand=3.8; localisation=15; employeur=6"
58;Conseiller clients (tous genres) région Chablais Vaudois - temps plein ou partiel;Helvetia;Vevey;2026-08-04;https://jobs.helvetia.com/offene-stellen/conseiller-clients-tous-genres-region-chablais-vaudois-temps-plein-ou-partiel/d793810b-5c6f-4625-8475-7ff58cbe3fb1;marketing | salons | evenements;oui;job-room;100%;"missions=10.7; experience=14; allemand=15; localisation=12.8; employeur=6"
58;Brand Segment Lead à 100% - CDD;Nestlé S.A.;La Tour-de-Peilz;2026-08-12;https://www.job-room.ch/job-search/532cdb13-8633-4587-9084-d488a054f0a9;brand | communication | marketing;oui;job-room;100%;"missions=14.3; experience=14; allemand=10.5; localisation=12.8; employeur=6"
57;STAGIAIRE GRAPHISTE;CARAN D'ACHE SA;Thônex;2026-07-25;https://www.jobs.ch/de/stellenangebote/detail/11a68e20-48bf-4586-a845-d21f7829c290/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobs|tg:b2c|cn:ch|lg:de|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;communication | marque | marketing;oui;job-room;100%;"missions=17.2; experience=4; allemand=15; localisation=15; employeur=6"
57;Stagiaire en communication - CDD 12 mois;Fondation de Vernand;Cheseaux-sur-Lausanne;2026-08-19;https://www.jobup.ch/fr/emplois/detail/1d8fe3a8-a08c-40a9-83ee-ac79841a86ba/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;communication | reseaux sociaux | site internet;oui;job-room;100%;"missions=16; experience=4; allemand=15; localisation=15; employeur=7"
55;Visiting Lecturer – Academic Writing & Rédaction Académique;EHL Group;Lausanne 25;2026-08-19;https://www.jobup.ch/fr/emplois/detail/dbe72a96-a63a-4169-be0e-fc00bc9ea1d6/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;redaction | growth | communication;oui;job-room;50-100%;"missions=8.5; experience=20; allemand=15; localisation=15; employeur=6"
51;Collaborateur logistique évenementiel;CAVE DE LA CÔTE société coopérative;Tolochenaz;2026-08-19;https://www.jobs.ch/de/stellenangebote/detail/8d6826e1-62e8-49ea-aeed-43523251c579/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobs|tg:b2c|cn:ch|lg:de|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;evenement | manifestations | foire;oui;job-room;100%;"missions=8.5; experience=14; allemand=15; localisation=15; employeur=7"
51;Chargé ou Chargée de projets à 80-100%;Ville de Geneve;Genève;;https://www.geneve.ch/administration-municipale/offres-emploi/charge-chargee-projets-80-100;site internet | communication | redaction;oui;web:Ville de Geneve;80-100%;"missions=7.9; experience=20; allemand=15; localisation=15; employeur=7"
50;MAITRE D'HOTEL EVENEMENTIEL;PROMAN;Genève;2026-08-11;https://www.jobup.ch/fr/emplois/detail/d4723224-0291-4e82-917b-d4321178ea25/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;evenementiel | communiquer | maitre;oui;job-room;100%;"missions=8.5; experience=14; allemand=15; localisation=15; employeur=6"
48;Représentant commercial / Représentante commerciale;Jobup;Yverdon;2026-08-03;https://www.jobup.ch/fr/emplois/detail/1130d30b-0168-4a7c-9c3f-057791d5081c/;salons | marketing | evenements;oui;job-room;100%;"missions=8.5; experience=14; allemand=15; localisation=12.8; employeur=6"
47;ANIMATEUR·RICE SOCIOCULTUREL·LE à 60% au secteur Animation-Jeunesse, rattaché au Service famille, éducation, sport et jeunesse, engagement du 1er octobre 2026 au 30 septembre 2027 (pérennisation du poste envisagée);Jobup;Vevey;2026-07-27;https://www.jobup.ch/fr/emplois/detail/1f95a04f-f207-491d-ae9b-7925a01e9979/;event | evenementiel | partenaires;oui;job-room;60%;"missions=8.3; experience=14; allemand=15; localisation=12.8; employeur=6"
46;Coordinateur·trice de programme;CAUX-Initiatives et Changement;Caux;2026-08-13;https://www.jobup.ch/fr/emplois/detail/067182b2-12b5-4b27-a1f9-234d21452fa5/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;communication | promotion | marketing;oui;job-room;100%;"missions=7.9; experience=14; allemand=15; localisation=15; employeur=6"
46;Zweisprachige/r Grafiker/in & 360°-Projektleiter/in (DE/FR);Jobup;Lausanne;2026-07-10;https://www.jobup.ch/fr/emplois/detail/087ffc40-f61e-4707-b7ce-c850805a1f2f/;marketing | campagnes | video;oui;job-room;80-100%;"missions=7.9; experience=14; allemand=15; localisation=15; employeur=6"
45;Conseillère/conseiller de vente en machines agricoles;UMATEC Estavayer-le-Lac;Estavayer-le-Lac;2026-08-12;https://www.jobup.ch/fr/emplois/detail/9b8ac70b-338a-48bd-a2bd-35a57ccec908/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;salons | marketing | foire;oui;job-room;100%;"missions=8.5; experience=14; allemand=15; localisation=9; employeur=6"
